event,gps,catalog,network_snr,mass1_source,mass2_source,mass_ratio_q,chirp_mass,total_mass,chi_eff,final_mass,luminosity_distance,p_astro,false_alarm_rate,lvc_source_type,eta_proj,lambda1_lambda2,lambda2_lambda3,geometric_class,geometry_mode,symmetry,cross_phase_rotation,n_detector_shifts,detector_trajectory,eta_inspiral,eta_post_inspiral,eta_merger_ringdown,waveform_correlation,envelope_correlation,det_power_merg_H1,det_power_merg_L1,det_power_merg_V1,quadrant,eta_snr_ratio,imr_isco_freq,imr_isco_eta,imr_merger_drop,imr_merger_drop_freq,imr_qnm_peak_freq,imr_qnm_peak_eta,imr_qnm_peak_r12,imr_eta_amplitude_ringdown,imr_n_class_A_regions,imr_eta_max,imr_eta_min,imr_eta_std,geom_isco_freq,geom_mass_total_est,geom_mass_total_err_pct,geom_qnm_freq,geom_method_note
GW170729,1185389807,GWTC-2.1-confident,10.7,54.7,30.2,0.5521,35.08,84.9,0.29,80.3,2490.0,,,BBH,0.4253,1.35,1.21,B+,multi-mode,low,0.6017,0,V1→V1→V1,0.3981,0.3761,0.4253,0.2454,0.1154,0.247,0.242,0.511,Q1-Anchored,0.0397,60.0,0.4429,-0.0515,80.0,235.0,0.4568,1.55,0.0987,2,0.4568,0.3581,0.0287,,,,,
GW170809,1186302519,GWTC-2.1-confident,12.8,34.1,24.2,0.7097,24.93,58.3,0.07,55.7,1070.0,,,BBH,0.4682,1.62,1.19,B+,multi-mode,low,0.6145,0,V1→V1→V1,0.4321,0.376,0.4682,0.205,-0.0451,0.2555,0.2453,0.4992,Q1-Anchored,0.0366,60.0,0.4536,-0.0362,60.0,285.0,0.5285,2.01,0.1568,1,0.5285,0.3717,0.0428,,,,,
GW170814,1186741861,GWTC-2.1-confident,17.7,30.9,24.9,0.8058,24.12,55.8,0.08,53.2,610.0,,,BBH,0.4471,1.41,1.34,A,single-mode,high,0.6252,2,V1→L1→V1,0.4257,0.4745,0.4471,0.2026,0.0729,0.2508,0.2706,0.4786,Q1-Anchored,0.0253,80.0,0.5078,-0.0595,105.0,435.0,0.506,1.87,0.0589,3,0.5078,0.3917,0.0343,80.0,55.0,-1.4,425.0,Template-free ISCO detection from geometric η(f) curve
GW170817,1187008882,GWTC-1-confident,33.0,1.5,1.3,0.8699,1.18,2.7,,2.8,40.0,1.0,,BNS,0.9221,21.59,1.21,B+,multi-mode,low,0.1683,0,L1→L1→L1,0.961,0.9719,0.9221,0.2381,-0.005,0.0493,0.8345,0.1162,Q1-Anchored,0.0279,40.0,0.969,-0.0409,135.0,235.0,0.9393,25.9,0.4412,3,0.969,0.498,0.1391,,,,,
GW170818,1187058327,GWTC-2.1-confident,12.0,34.8,27.6,0.7931,26.94,62.4,-0.06,59.7,1080.0,,,BBH,0.3807,1.2,1.05,B+,multi-mode,low,0.6406,0,V1→V1→V1,0.3758,0.3926,0.3807,0.3142,0.1397,0.3168,0.2852,0.3981,Q3-DiffuseStable,0.0317,60.0,0.493,-0.0408,80.0,435.0,0.4581,1.5,0.0813,2,0.493,0.3767,0.0353,,,,,
GW190412,1239082262,GWTC-2.1-confident,19.8,27.7,9.0,0.3249,13.34,36.7,0.21,35.6,720.0,1.0,,BBH,0.3927,1.19,1.2,B+,multi-mode,low,0.6608,0,V1→V1→V1,0.3944,0.3632,0.3927,-0.0469,0.021,0.2874,0.2703,0.4423,Q4-DiffuseDynamic,0.0198,80.0,0.4654,-0.0831,80.0,435.0,0.5649,2.34,0.186,1,0.5649,0.3789,0.0496,,,,,
GW190503_185404,1240944862,GWTC-2.1-confident,12.2,41.3,28.3,0.6852,29.66,69.6,-0.05,66.5,1520.0,1.0,,BBH,0.3985,1.23,1.17,B+,multi-mode,low,0.6415,0,V1→V1→V1,0.3625,0.3636,0.3985,0.2158,0.0351,0.204,0.199,0.597,Q1-Anchored,0.0327,60.0,0.5583,-0.0978,80.0,485.0,0.5258,1.98,0.149,1,0.5583,0.3768,0.058,,,,,
GW190512_180714,1241719652,GWTC-2.1-confident,12.7,23.2,12.5,0.5388,14.69,35.7,0.02,34.3,1460.0,1.0,,BBH,0.3973,1.23,1.16,B+,multi-mode,low,0.6434,1,L1→V1→V1,0.4568,0.3655,0.3973,0.3208,0.0336,0.2033,0.1946,0.6022,Q1-Anchored,0.0313,40.0,0.5315,-0.0417,60.0,485.0,0.5727,2.51,0.1957,1,0.5727,0.377,0.0574,,,,,
GW190513_205428,1241816086,GWTC-2.1-confident,12.5,36.0,18.3,0.5083,22.09,54.3,0.16,52.1,2210.0,1.0,,BBH,0.3864,1.15,1.22,B+,multi-mode,low,0.6344,1,L1→V1→V1,0.4071,0.4206,0.3864,nan,nan,0.1883,0.1743,0.6374,Q3-DiffuseStable,0.0309,60.0,0.5197,-0.0841,60.0,435.0,0.8302,8.14,0.4564,2,0.8302,0.3653,0.1249,,,,,
GW190517_055101,1242107479,GWTC-2.1-confident,10.8,39.2,24.0,0.6122,26.54,63.2,0.49,60.1,1790.0,1.0,,BBH,0.4108,1.3,1.15,B+,multi-mode,low,0.6553,0,V1→V1→V1,0.3911,0.3682,0.4108,0.2552,0.0427,0.2324,0.2588,0.5088,Q2-CoherentDynamic,0.038,60.0,0.514,-0.0848,80.0,485.0,0.6958,3.2,0.3248,2,0.6958,0.371,0.0874,,,,,
